centris_no,url,area,address,city,province,property_type,price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,year_built,parking,latitude,longitude,description,scraped_at
23354902,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/23354902,Montréal (Île),"300, Rue Ann, app. 510
Montréal (Le Sud-Ouest)",,QC,Condo à vendre,409000,,,,,,,,,,2026-05-22T15:08:11
18784435,https://www.centris.ca/fr/maison~a-vendre~westmount/18784435,Montréal (Île),"451, Avenue Clarke
Westmount",,QC,Maison à vendre,2595000,,,,,,,,,,2026-05-22T15:08:11
27209510,https://www.centris.ca/fr/duplex~a-vendre~montreal-villeray-saint-michel-parc-extension/27209510,Montréal (Île),"6977 - 6979, Avenue Champagneur
Montréal (Villeray/Saint-Michel/Parc-Extension)",,QC,Duplex à vendre,750000,,,,,,,,,,2026-05-22T15:08:11
28670907,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/28670907,Montréal (Île),"1509, Rue Sherbrooke Ouest, app. 54
Montréal (Ville-Marie)",,QC,Condo à vendre,1415000,,,,,,,,,,2026-05-22T15:08:11
18285859,https://www.centris.ca/fr/condo~a-vendre~montreal-saint-leonard/18285859,Montréal (Île),"4740, Rue Jean-Talon Est, app. 360
Montréal (Saint-Léonard)",,QC,Condo à vendre,469900,,,,,,,,,,2026-05-22T15:08:11
12998727,https://www.centris.ca/fr/condo~a-vendre~montreal-saint-laurent/12998727,Montréal (Île),"950, Rue Muir, app. 206
Montréal (Saint-Laurent)",,QC,Condo à vendre,599000,,,,,,,,,,2026-05-22T15:08:11
15024458,https://www.centris.ca/fr/maison~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/15024458,Montréal (Île),"4363, boulevard Décarie
Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)",,QC,Maison à vendre,1669000,,,,,,,,,,2026-05-22T15:08:12
12759877,https://www.centris.ca/fr/maison~a-vendre~mont-royal/12759877,Montréal (Île),"119, boulevard Graham
Mont-Royal",,QC,Maison à vendre,1298000,,,,,,,,,,2026-05-22T15:08:12
20261523,https://www.centris.ca/fr/maison~a-vendre~beaconsfield/20261523,Montréal (Île),"223, Westcroft Road
Beaconsfield",,QC,Maison à vendre,899000,,,,,,,,,,2026-05-22T15:08:12
26976397,https://www.centris.ca/fr/terre~a-vendre~dorval/26976397,Montréal (Île),"282, Avenue Clément
Dorval",,QC,Terre à vendre,650000,,,,,,,,,,2026-05-22T15:08:12
17756888,https://www.centris.ca/fr/maison-en-copropriete~a-vendre~montreal-saint-laurent/17756888,Montréal (Île),"2686, Avenue Ernest-Hemingway
Montréal (Saint-Laurent)",,QC,Maison en copropriété à vendre,1075000,,,,,,,,,,2026-05-22T15:08:12
16754023,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/16754023,Montréal (Île),"1182, Rue Crescent, app. 903
Montréal (Ville-Marie)",,QC,Condo à vendre,389000,,,,,,,,,,2026-05-22T15:08:12
