centris_no,url,area,address,city,province,property_type,price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,year_built,parking,latitude,longitude,description,scraped_at
18582849,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/18582849,Montréal (Île),"2117, Rue Tupper, app. 1504",Montréal (Ville-Marie),QC,Condo à vendre,329000,1,1,545,,2017,,45.490759,-73.582149,"Découvrez ce condo moderne et lumineux orienté sud-ouest, situé au coeur du centre-ville de Montréal. À quelques pas de la station de métro Atwater, du centre commercial, des épiceries, des banques,des restaurants et des établissements d'enseignement. Cette unité comprend une chambre fermée avec walk-in closet et un balcon privé offrant une vue imprenable sur la ville. L'immeuble est calme, propre et bien entretenu, offrant un service de sécurité 24h/24, une salle de GYM, une piscine et une salle de conférence privée. Pour une commodité ultime, les résidents profitent d'une deuxième entrée ave",2026-05-22T18:28:28
11105526,https://www.centris.ca/fr/maison~a-vendre~dollard-des-ormeaux/11105526,Montréal (Île),"375Z, Rue Hyman",Dollard-des-Ormeaux,QC,Maison à vendre,449000,4,2,,,1970,,45.492083,-73.796654,"Très belle propriété, bien entretenue et bien rénovée, parfaite pour les familles. Offrant 3 chambres spacieuses à l'étage ainsi qu'une au sous-sol, cette maison allie confort et fonctionnalité. Profitez de nombreuses améliorations récentes à travers toute la propriété, offrant un espace de vie moderne. L'espace est lumineux et accueillant, idéal pour la vie de tous les jours. Située dans un secteur très recherché, vous serez à proximité de tout - commerces, épiceries, services - ainsi qu'un accès facile au REM, facilitant vos déplacements. Bienvenue !!!",2026-05-22T18:28:28
26578573,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/26578573,Montréal (Île),"225, Rue de la Montagne, app. 409",Montréal (Le Sud-Ouest),QC,Condo à vendre,425000,2,1,587,,2012,,45.49213563,-73.5601032,"*LOCALISATION DE CHOIX** Condo prestigieux situé au Carré de la Montagne, au coeur de Griffintown et à proximité de tous les services! Situé au 4 étage d'un immeuble moderne au design architectural unique, ce condo au style urbain épuré offre des finitions haut de gamme, 1 chambre, 1 espace bureau, de hauts plafonds en béton exposé et une grande salle de bain avec buanderie intégrée. L'immense fenestration inonde les espaces de vie et la chambre à coucher de lumière naturelle. Vous profiterez également d'un grand balcon vitré offrant une vue sur le parc St-Ann et une orientation sud-ouest. À d",2026-05-22T18:28:29
25457717,https://www.centris.ca/fr/condo~a-vendre~montreal-mercier-hochelaga-maisonneuve/25457717,Montréal (Île),"2049, Rue Baldwin",Montréal (Mercier/Hochelaga-Maisonneuve),QC,Condo à vendre,429000,2,2,786,,2019,,45.59823493,-73.51383641,"Bienvenue chez vous! Magnifique condo offrant une qualité de vie supérieure au quotidien, tant par sa configuration optimale sur deux étages, qu'avec ses deux salles de bain complètes et sa terrasse privée sur le toit, ensoleillée toute la journée! Secteur en effervescence, idéal pour investisseur ou premier acheteur. À 2 minutes du Parc de la Promenade-Bellerive et des berges du fleuve, et à 5 minutes de marche de tous les commerces et des commodités. Accès direct au centre-ville en moins de 25 minutes. Stationnement facile et sans vignette. Libre dès maintenant, pour une occupation immédiate",2026-05-22T18:28:29
13909426,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/13909426,Montréal (Île),"1050, Rue Drummond, app. 2904",Montréal (Ville-Marie),QC,Condo à vendre,809000,2,2,,,2017,,45.49655844,-73.57020654,"Projet L'Avenue, l'une des plus élégantes et luxueuses du centre-ville de Montréal, devant le centre de Bell. Unité de coin très lumineuse avec une vue imprenable sur le fleuve Saint Laurent et la ville. 2 chambres et 2 salles de bains complètes avec garage intérieur et casier.",2026-05-22T18:28:29
9635656,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/9635656,Montréal (Île),"1211, Rue Drummond, app. 107",Montréal (Ville-Marie),QC,Condo à vendre,599900,2,1,836,,2017,,45.498232,-73.572818,"Vendeur motivé, le prix compétive sur la marché. Beau condo se situé au centre ville de Montreal, 2 chambres a coucher sur 2 étages, tres bien disposé, maintenant loué a 2500$ par mois, super locataires, venez visiter, ne ratez pas la chance.",2026-05-22T18:28:29
9967622,https://www.centris.ca/fr/condo~a-vendre~montreal-anjou/9967622,Montréal (Île),"7271, Avenue de l'Alsace, app. 201",Montréal (Anjou),QC,Condo à vendre,354900,2,1,897,,1984,,45.605726,-73.581132,"Superbe condo de coin au 2ème étage, avec fenestration sur 3 côtés et une belle luminosité. Secteur paisible, près de boul. Galeries d 'Anjou et de plusieurs services. Unité de 2 chambres à coucher, avec plancher flottant en bois d'ingénierieet salle de bain rénovée.Deux grands balcons, dont celui en avant est en coin et orienté vers le sud. GARAGE spacieux et deux places destationnementextérieur. Rangements au condo et dans le sous-sol. Une copropriété bien entretenue de seulement 6 condos. Accès rapide aux autoroutes 25 et 40. IL FAUT VOIR !",2026-05-22T18:28:29
16952660,https://www.centris.ca/fr/maison~a-vendre~montreal-villeray-saint-michel-parc-extension/16952660,Montréal (Île),"8567, Rue Clark",Montréal (Villeray/Saint-Michel/Parc-Extension),QC,Maison à vendre,995000,4,2,,3000,1950,,45.540425,-73.639212,"Située au coeur de Villeray, cette superbe unifamiliale jumelée du 8567 rue Clark combine charme, confort et emplacement de choix. Profitez d'un espace de vie lumineux et convivial, idéal pour la vie de famille, à proximité du métro, du Marché Jean-Talon, des cafés branchés et des parcs du quartier. Immense cour arrière, cachet unique et quartier recherché : une occasion rare de vivre l'un des secteurs les plus prisés de Montréal!",2026-05-22T18:28:29
11534644,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/11534644,Montréal (Île),"1200, Rue Saint-Jacques, app. 405",Montréal (Ville-Marie),QC,Condo à vendre,393000,1,1,620,,2006,,45.49492,-73.566155,"Rare opportunité: appartement au quatrième étage donnant sur un magnifique jardin privé paysagé, baigné de lumière naturelle et offrant une vue panoramique tout au long de la journée. Actuellement loué à 1750$ par mois avec un bail en vigueur jusqu'au 30juin2026, ce logement représente une excellente opportunité d'investissement. Idéalement situé à distance de marche des universités McGill et Concordia, des stations de métro Lucien-L'Allier et Bonaventure, du Centre Bell et des commodités du centre-ville.",2026-05-22T18:28:29
21158127,https://www.centris.ca/fr/duplex~a-vendre~sainte-anne-de-bellevue/21158127,Montréal (Île),"37 - 37A, Rue Saint-Pierre",Sainte-Anne-de-Bellevue,QC,Duplex à vendre,998000,2,1,,5140,1917,,45.405525,-73.950552,"Charmant duplex rénové au coeur du village animé de Sainte-Anne-de-Bellevue. Cette propriété a été entièrement rénovée, tant à l'intérieur qu'à l'extérieur, au cours des dernières années et comprend deux grands appartements, garantissant un excellent rendement locatif. Elle est idéale pour un propriétaire-occupant ou un investisseur. Une propriété de rapport clé en main bénéficiant d'un emplacement exceptionnel, avec un accès facile à toutes les commodités. Profitez de la vie de village à quelques pas des commerces, des restaurants, de la gare et de la promenade au bord de l'eau. 2 places de s",2026-05-22T18:28:29
