centris_no,url,area,address,city,province,property_type,price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,year_built,parking,latitude,longitude,description,scraped_at
16276932,https://www.centris.ca/fr/condo~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/16276932,Montréal (Île),"5126, Avenue Clanranald",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),QC,Condo à vendre,849000,,,2,,1926,,45.481165,-73.632182,"Superbe copropriété bien situé de 2 étages au parfait équilibre entre charme et fonctionnalité. Dès l'entrée, soyez séduit par ses élégantes moulures et ses planchers en bois franc créant une ambiance chaleureuse et raffinée. Le RDC bénéficie d'un espace de vie lumineux à aire ouverte, parfait pour recevoir famille et amis ainsi que 3 chambres. L'unité de coin propose aussi 2 salles de bain pour du confort au quotidien. Le sous-sol pleine hauteur offre plusieurs options; telles une grande salle familiale, coin bureau et une possibilité d'une 4e chambre, selon vos besoins. Profitez d'un station",2026-05-22T16:09:28
19421220,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/19421220,Montréal (Île),"1919, Rue Panet",Montréal (Ville-Marie),QC,Condo à vendre,410000,,,633,,,,45.522735,-73.560574,"Dernier étage, proche du Parc Lafontaine, de tous les commerces de proximité et de 4 stations de métro à courte distance. Copropriété indivise de 650 pieds carrés rénovée au complet avec des plafonds de 9,5 pieds. Très lumineux. Unité de dernier étage avec droit exclusif du toit pour y construire une terrasse ou y ajouter une mezzanine. Clef en main. Occupation rapide.",2026-05-22T16:09:29
9060146,https://www.centris.ca/fr/maison~a-vendre~montreal-l-ile-bizard-sainte-genevieve/9060146,Montréal (Île),"10, Rue de Châteauneuf",Montréal (L'Île-Bizard/Sainte-Geneviève),QC,Maison à vendre,2589000,,,107,,2001,,45.51107886,-73.9016318,"Maison détaches au bord du lac, emplacement unique et valeur future élevée. L'intersection des éléments sobres et aquatiques est synonyme de ce château. Environnement de vie calme haut de gamme, cours avant et arrière indépendantes et spacieuses. Les buissons et la verdure dans la cour avant cachent votre manoir dans la jungle. On accède à la maison en empruntant l'allée séparée depuis la porte d'entrée jusqu'à la cour. L'arrière-cour a un accès direct au lac et vous pouvez vous promener de votre propre arrière-cour jusqu'au quai des bateaux. En été, vous pourrez profiter pleinement du plaisir",2026-05-22T16:09:29
26083166,https://www.centris.ca/fr/condo~a-vendre~montreal-riviere-des-prairies-pointe-aux-trembles/26083166,Montréal (Île),"13510, Rue Sherbrooke Est, app. 4",Montréal (Rivière-des-Prairies/Pointe-aux-Trembles),QC,Condo à vendre,359900,,,,,1983,,45.662359,-73.50675,"Grand condo de coin offrant 3 chambres à coucher, situé dans un emplacement recherché à l'écart du boulevard Sherbrooke. Des fenêtres et portes-patio remplacées au fil des années. Cette unité lumineuse se démarque par sa gestion rigoureuse et sa proximité immédiate de tous les services essentiels. Une visite vous convaincra rapidement !",2026-05-22T16:09:29
9455996,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/9455996,Montréal (Île),"20, Rue Saint-Paul Ouest, app. 304",Montréal (Ville-Marie),QC,Condo à vendre,729000,,,980,,1894,,45.505204,-73.553906,"TERRASSE PRIVÉE SUR LE TOIT - Découvrez cet immeuble en pierre clé en main, niché sur l'une des rues pavées les plus prisées du Vieux-Montréal. Offrant 1 chambre au deuxième étage et 1+1 salles de bains, cette résidence raffinée sur deux niveaux allie finitions modernes haut de gamme, élégance intemporelle et patrimoine du quartier. Une terrasse privée sur le toit, accessible depuis la chambre principale, crée un refuge exclusif et intime. Un puits de lumière inonde le salon et la cuisine à aire ouverte, sublimés par un mur en pierre apparente et hauts plafonds. À quelques pas de restaurants, ",2026-05-22T16:09:29
14532169,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/14532169,Montréal (Île),"1050, Rue Drummond, app. 1206",Montréal (Ville-Marie),QC,Condo à vendre,569000,,,747,,2017,,45.49683519,-73.57095756,"L/Avenue condominium au coeur de centre-ville, festivals, divertissements, restaurants et magasins. De quoi à satisfaire les goûts les plus exigeants. Unité de coin très ensoleillée face au Nord/Ouest qui donne sur la 20 et La Montagne. 2 CAC + 2 SDB, idéal pour une famille, professionnels ou un pieds à terre.",2026-05-22T16:09:29
26366270,https://www.centris.ca/fr/condo~a-vendre~dorval/26366270,Montréal (Île),"680, Chemin du Bord-du-Lac-Lakeshore, app. 201",Dorval,QC,Condo à vendre,449000,,,824,,2013,,45.43936,-73.73617,"Superbe condo de coin orienté ouest offrant 2 chambres à coucher et 1 salle de bain + salle d'eau, avec stationnement au garage et balcon privé, baigné de lumière naturelle toute la journée. Situé au coeur du Village de Dorval, cette unité élégante propose des finitions haut de gamme, des comptoirs en quartz et un îlot central. La chambre principale comprend un double garde-robe, et la deuxième chambre offre un walk-in. La salle de bain est équipée d'un bain et d'un espace buanderie dissimulé. L'immeuble dispose d'une rampe de garage chauffée et d'un ascenseur. Unité impeccable.",2026-05-22T16:09:29
15729464,https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15729464,Montréal (Île),"1245, Rue De Bleury, app. 3616",Montréal (Ville-Marie),QC,Condo à vendre,485000,,,,,2024,,45.50631,-73.566182,"Ce luxueux condo d'une chambre, situé au 36e étage de la résidence Maestria, offre une vue panoramique imprenable sur le centre-ville de Montréal. Baigné de soleil grâce à ses fenêtres pleine hauteur et ses finitions haut de gamme, il propose un agencement spacieux comprenant une cuisine moderne, une salle de bain élégante, un dressing dans la chambre principale et un balcon privé. Les résidents bénéficient d'un accès à plus de 40000 pieds carrés d'installations de prestige, dont un centre de conditionnement physique, un spa, des piscines, des salles de jeux et bien plus encore. Située au coeu",2026-05-22T16:09:29
16826591,https://www.centris.ca/fr/condo~a-vendre~montreal-mercier-hochelaga-maisonneuve/16826591,Montréal (Île),"340, Rue Baldwin",Montréal (Mercier/Hochelaga-Maisonneuve),QC,Condo à vendre,334500,,,675,,2014,,45.59716406,-73.51085778,"Vendeuse motivée,faites une offre belle qualité de vie,face au fleuve et parc Bellerive,excellent rapport prix-qualité,4 pieces,1 chambre fermée,planchers de latte,espace bureau,grand balcon avant et arrière et grand rangement. Belle terrasse sur le toit en commun,rue tranquille,à 15 minutes du métro Beaugrand,autobus express pour le centre-ville,venez visiter.Frais de condo 2026:110$",2026-05-22T16:09:29
12117637,https://www.centris.ca/fr/terrain~a-vendre~montreal-l-ile-bizard-sainte-genevieve/12117637,Montréal (Île),Rue Jean-Yves,Montréal (L'Île-Bizard/Sainte-Geneviève),QC,Terrain à vendre,140000,,,192,,,,45.48377556,-73.88144148,"Terrain de 192,141 pi.ca. sans structure, bâtiment ni dépendance tel que décrit au certificat de localisation. Le terrain est partiellement situé à l'intérieur d'un territoire à risque d'inondation et d'une bande de protection riveraine.",2026-05-22T16:09:29
13017696,https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/13017696,Montréal (Île),"100, Rue Murray, app. 106",Montréal (Le Sud-Ouest),QC,Condo à vendre,242000,,,266,,2024,,45.491481,-73.557064,"Condo flambant neuf, studio à aire ouverte Cuisine moderne avec appareils électroménagers, salle de bain spacieuse, Avec de nouveaux appareils pour le confort quotidien Laveuse/sécheuse dans l'unité Réception et service de sécurité 24/7, gym et salle de divertissement haut de gamme avec terrasse, accès gratuit pour les résidents Immeuble avec ascenseur et piscine sur le toit, vue panoramique depuis le Mont-Royal, vue sur la ville jusqu'au Canal de Lachine Points forts de l'emplacement À quelques pas du Canal de Lachine et des pistes cyclables Minutes de l'ÉTS, du Vieux Montréal, du centre-vill",2026-05-22T16:09:29
27085119,https://www.centris.ca/fr/terrain~a-vendre~montreal-l-ile-bizard-sainte-genevieve/27085119,Montréal (Île),"995, 1re Avenue",Montréal (L'Île-Bizard/Sainte-Geneviève),QC,Terrain à vendre,649900,,,16,,,,45.519121,-73.872524,"Magnifique terrain vacant offrant une opportunité de développement résidentiel dans un environnement recherché et paisible. Le lot se prête idéalement à la réalisation d'un projet unifamilial s'intégrant harmonieusement au caractère du secteur, dans un esprit traditionnel, champêtre, rural ou villageois, conformément aux orientations municipales. Anciennement occupé par une résidence aujourd'hui démolie, le terrain est prêt à accueillir une nouvelle construction. Son emplacement stratégique, à proximité des services essentiels, en fait un choix de premier ordre pour bâtisseurs, investisseurs o",2026-05-22T16:09:29
26838258,https://www.centris.ca/fr/condo~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/26838258,Montréal (Île),"4599, Avenue Clanranald, app. 813",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),QC,Condo à vendre,389000,,,572,,2019,,45.47909789,-73.62635593,"Condo lumineux au Beaumont, situé dans un quartier très recherché de NDG, près de 572 pi² offrant 1 chambre, une fenestration abondante, de superbes planchers de bois, et une espace de vie à aire ouverte. Un design contemporain, une belle cuisine avec des comptoirs en quartz, finitions haut de gamme. Immeuble en béton et acier avec insonorisation supérieure. Une piscine sur le toit avec une vue de 360 degrés. Un accès direct à l'IGA sans quitter l'immeuble. À deux pas du village Monkland, et de tous les services, avec accès rapide au transport en commun. Une opportunité rare dans un secteur re",2026-05-22T16:09:29
15958475,https://www.centris.ca/fr/maison~a-vendre~westmount/15958475,Montréal (Île),"607, Avenue Clarke",Westmount,QC,Maison à vendre,3395000,,,4,,1928,,45.49010856,-73.60158401,"Magnifique résidence en pierre située sur la rue Upper Clarke, à proximité des meilleures écoles privées de Westmount. Cette vaste résidence de 3 étages, plus sous-sol, comprend 6 c-à-c et 4+1 s-d-b, idéale pour les grandes familles ou pour accommoder les besoins de travail à domicile. Résolument traditionnelle, la résidence est dotée d'une immense cuisine avec accès direct à la cour arrière, de gracieuses salles de réception, de planchers de chêne étincelants, d'une spacieuse suite principale avec un généreux walk-in, de salles de bains rénovées et d'un sous-sol aménagé. Enfin, on y retrouve ",2026-05-22T16:09:29
